odd_residue_mod_2^k,phi,v2(3r+1),succ_residue,check_w_blur+delta+phi(succ)-phi(res)
1,0.000000000000,2,1,-0.081731419036
3,-0.856608018632,1,5,-0.000001000000
5,-1.468024780156,4,1,-0.000001000000
7,-1.101799275741,1,11,-0.000001000000
9,-1.183529694777,2,7,-0.000001000000
11,-1.713216037265,1,17,-0.000001000000
13,-2.242902379752,3,5,-0.000001000000
15,-1.794946456301,1,23,-0.000001000000
17,-2.324632798789,2,13,-0.000001000000
19,-1.876676875337,1,29,-0.000001000000
21,-2.854319141276,6,1,-0.000001000000
23,-2.406363217825,1,35,-0.000001000000
25,-1.958407294374,2,19,-0.000001000000
27,4.966818986234,1,41,-0.000001000000
29,-2.488093636861,3,11,-0.000001000000
31,4.437132643746,1,47,-0.000001000000
33,-2.040137713410,2,25,-0.000001000000
35,-3.017779979348,1,53,-0.000001000000
37,-2.569824055897,4,7,-0.000001000000
39,-1.592181789959,1,59,-0.000001000000
41,4.355402224710,2,31,-0.000001000000
43,-2.121868132446,1,65,-0.000001000000
45,-3.099510398385,3,17,-0.000001000000
47,3.825715882223,1,71,-0.000001000000
49,-2.651554474933,2,37,-0.000001000000
51,-2.651554474933,1,77,-0.000001000000
53,-3.629196740872,5,5,-0.000001000000
55,4.273671805674,1,83,-0.000001000000
57,-2.203598551482,2,43,-0.000001000000
59,-2.203598551482,1,89,-0.000001000000
61,-3.181240817421,3,23,-0.000001000000
63,3.743985463186,1,95,-0.000001000000
65,-2.733284893970,2,49,-0.000001000000
67,-2.733284893970,1,101,-0.000001000000
69,-3.710927159908,4,13,-0.000001000000
71,3.214299120699,1,107,-0.000001000000
73,4.191941386638,2,55,-0.000001000000
75,-3.710927159908,1,113,-0.000001000000
77,-3.262971236457,3,29,-0.000001000000
79,-2.285328970518,1,119,-0.000001000000
81,-3.262971236457,2,61,-0.000001000000
83,3.662255044150,1,125,-0.000001000000
85,-4.240613502396,8,1,-0.000001000000
87,-2.815015313006,1,131,-0.000001000000
89,-2.815015313006,2,67,-0.000001000000
91,2.154926435724,1,137,-0.000001000000
93,-3.792657578945,3,35,-0.000001000000
95,3.132568701663,1,143,-0.000001000000
97,4.110210967601,2,73,-0.000001000000
99,-3.344701655493,1,149,-0.000001000000
101,-3.344701655493,4,19,-0.000001000000
103,1.625240093236,1,155,-0.000001000000
105,-2.367059389555,2,79,-0.000001000000
107,2.602882359175,1,161,-0.000001000000
109,3.580524625114,3,41,-0.000001000000
111,0.117911484810,1,167,-0.000001000000
113,-4.322343921432,2,85,-0.000001000000
115,-2.896745732042,1,173,-0.000001000000
117,-3.874387997981,5,11,-0.000001000000
119,-2.896745732042,1,179,-0.000001000000
121,2.073196016688,2,91,-0.000001000000
123,-1.919103466103,1,185,-0.000001000000
125,3.050838282626,3,47,-0.000001000000
127,-1.919103466103,1,191,-0.000001000000
129,4.028480548565,2,97,-0.000001000000
131,-3.426432074530,1,197,-0.000001000000
133,-3.426432074530,4,25,-0.000001000000
135,-2.448789808591,1,203,-0.000001000000
137,1.543509674200,2,103,-0.000001000000
139,-2.448789808591,1,209,-0.000001000000
141,-4.404074340468,3,53,-0.000001000000
143,2.521151940139,1,215,-0.000001000000
145,3.498794206078,2,109,-0.000001000000
147,3.498794206078,1,221,-0.000001000000
149,-3.956118417017,6,7,-0.000001000000
151,-4.404074340468,1,227,-0.000001000000
153,-2.978476151078,2,115,-0.000001000000
155,1.013823331713,1,233,-0.000001000000
157,-2.978476151078,3,59,-0.000001000000
159,-1.471147542652,1,239,-0.000001000000
161,1.991465597651,2,121,-0.000001000000
163,-3.956118417017,1,245,-0.000001000000
165,2.969107863590,4,31,-0.000001000000
167,-0.493505276713,1,251,-0.000001000000
169,-2.000833885140,2,127,-0.000001000000
171,3.946750129529,1,257,-0.000001000000
173,-3.508162493566,3,65,-0.000001000000
175,0.484136989225,1,263,-0.000001000000
177,-3.508162493566,2,133,-0.000001000000
179,-3.508162493566,1,269,-0.000001000000
181,-4.485804759505,5,17,-0.000001000000
183,1.461779255164,1,275,-0.000001000000
185,-2.530520227627,2,139,-0.000001000000
187,-2.530520227627,1,281,-0.000001000000
189,2.439421521103,3,71,-0.000001000000
191,-2.530520227627,1,287,-0.000001000000
193,3.417063787041,2,145,-0.000001000000
195,3.417063787041,1,293,-0.000001000000
197,-4.037848836053,4,37,-0.000001000000
199,3.417063787041,1,299,-0.000001000000
201,-4.485804759505,2,151,-0.000001000000
203,-3.060206570115,1,305,-0.000001000000
205,-4.037848836053,3,77,-0.000001000000
207,0.932092912677,1,311,-0.000001000000
209,-3.060206570115,2,157,-0.000001000000
211,-3.060206570115,1,317,-0.000001000000
213,-5.015491101992,7,5,-0.000001000000
215,1.909735178615,1,323,-0.000001000000
217,-4.037848836053,2,163,-0.000001000000
219,-2.082564304176,1,329,-0.000001000000
221,2.887377444554,3,83,-0.000001000000
223,-0.575235695750,1,335,-0.000001000000
225,-2.082564304176,2,169,-0.000001000000
227,-5.015491101992,1,341,-0.000001000000
229,-3.589892912602,4,43,-0.000001000000
231,3.865019710493,1,347,-0.000001000000
233,0.402406570189,2,175,-0.000001000000
235,3.865019710493,1,353,-0.000001000000
237,-3.589892912602,3,89,-0.000001000000
239,-2.082564304176,1,359,-0.000001000000
241,-4.567535178541,2,181,-0.000001000000
243,1.380048836128,1,365,-0.000001000000
245,-4.567535178541,5,23,-0.000001000000
247,-2.612250646663,1,371,-0.000001000000
249,-2.612250646663,2,187,-0.000001000000
251,-1.104922038237,1,377,-0.000001000000
253,2.357691102066,3,95,-0.000001000000
255,-2.612250646663,1,383,-0.000001000000
257,3.335333368005,2,193,-0.000001000000
259,3.335333368005,1,389,-0.000001000000
261,-4.119579255090,4,49,-0.000001000000
263,-0.127279772298,1,395,-0.000001000000
265,3.335333368005,2,199,-0.000001000000
267,-4.567535178541,1,401,-0.000001000000
269,-4.119579255090,3,101,-0.000001000000
271,-3.141936989151,1,407,-0.000001000000
273,-4.119579255090,2,205,-0.000001000000
275,0.850362493640,1,413,-0.000001000000
277,-5.097221521028,6,13,-0.000001000000
279,-3.141936989151,1,419,-0.000001000000
281,-3.141936989151,2,211,-0.000001000000
283,-1.634608380725,1,425,-0.000001000000
285,1.828004759579,3,107,-0.000001000000
287,-3.141936989151,1,431,-0.000001000000
289,-4.119579255090,2,217,-0.000001000000
291,2.805647025518,1,437,-0.000001000000
293,2.805647025518,4,55,-0.000001000000
295,-2.164294723212,1,443,-0.000001000000
297,-0.656966114786,2,223,-0.000001000000
299,2.805647025518,1,449,-0.000001000000
301,-5.097221521028,3,113,-0.000001000000
303,-3.141936989151,1,455,-0.000001000000
305,-3.671623331638,2,229,-0.000001000000
307,-3.671623331638,1,461,-0.000001000000
309,-4.649265597577,5,29,-0.000001000000
311,0.320676151153,1,467,-0.000001000000
313,3.783289291456,2,235,-0.000001000000
315,-3.671623331638,1,473,-0.000001000000
317,-3.671623331638,3,119,-0.000001000000
319,-2.164294723212,1,479,-0.000001000000
321,-4.649265597577,2,241,-0.000001000000
323,1.298318417092,1,485,-0.000001000000
325,-4.649265597577,4,61,-0.000001000000
327,4.760931557395,1,491,-0.000001000000
329,-2.693981065700,2,247,-0.000001000000
331,-4.649265597577,1,497,-0.000001000000
333,2.275960683030,3,125,-0.000001000000
335,-1.186652457273,1,503,-0.000001000000
337,2.275960683030,2,253,-0.000001000000
339,-2.693981065700,1,509,-0.000001000000
341,-5.626907863516,10,1,-0.000001000000
343,3.253602948969,1,515,-0.000001000000
345,3.253602948969,2,259,-0.000001000000
347,3.253602948969,1,521,-0.000001000000
349,-4.201309674126,3,131,-0.000001000000
351,-0.209010191335,1,527,-0.000001000000
353,3.253602948969,2,265,-0.000001000000
355,-4.201309674126,1,533,-0.000001000000
357,-4.201309674126,4,67,-0.000001000000
359,-2.693981065700,1,539,-0.000001000000
361,-3.223667408187,2,271,-0.000001000000
363,-3.223667408187,1,545,-0.000001000000
365,0.768632074604,3,137,-0.000001000000
367,-3.223667408187,1,551,-0.000001000000
369,-5.178951940065,2,277,-0.000001000000
371,-3.223667408187,1,557,-0.000001000000
373,-5.178951940065,5,35,-0.000001000000
375,-3.223667408187,1,563,-0.000001000000
377,-1.716338799761,2,283,-0.000001000000
379,-2.246025142248,1,569,-0.000001000000
381,1.746274340543,3,143,-0.000001000000
383,-3.223667408187,1,575,-0.000001000000
385,-4.201309674126,2,289,-0.000001000000
387,2.723916606481,1,581,-0.000001000000
389,2.723916606481,4,73,-0.000001000000
391,2.723916606481,1,587,-0.000001000000
393,-2.246025142248,2,295,-0.000001000000
395,-0.738696533822,1,593,-0.000001000000
397,-4.730996016613,3,149,-0.000001000000
399,2.723916606481,1,599,-0.000001000000
401,-5.178951940065,2,301,-0.000001000000
403,-5.178951940065,1,605,-0.000001000000
405,-4.730996016613,6,19,-0.000001000000
407,-3.753353750675,1,611,-0.000001000000
409,-3.753353750675,2,307,-0.000001000000
411,3.701558872420,1,617,-0.000001000000
413,0.238945732117,3,155,-0.000001000000
415,3.701558872420,1,623,-0.000001000000
417,3.701558872420,2,313,-0.000001000000
419,-3.753353750675,1,629,-0.000001000000
421,-3.753353750675,4,79,-0.000001000000
423,-4.201309674126,1,635,-0.000001000000
425,-2.246025142248,2,319,-0.000001000000
427,-2.775711484736,1,641,-0.000001000000
