r,fk,v2,phi,slack_float,slack_upper
1,1,2,0,-0.08173141903623296,-0.08173141903546852
725,17,7,-5.872099120624,-1.0000009593724712E-06,-1.0000001946508519E-06
6869,161,7,-1.556000724184,-1.000000958928382E-06,-1.0000001942067627E-06
2133,25,8,-6.199020796769,-1.0000009051935876E-06,-1.0000001395837899E-06
2901,17,9,-7.258393481744,-1.000000851014704E-06,-1.0000000854049063E-06
1263,1895,1,8.511162545574,-1.0000002887977644E-06,-9.999995249643234E-07
1583,2375,1,8.184240869429,-1.0000002887977644E-06,-9.999995249643234E-07
3331,4997,1,8.468735954808,-1.0000002887977644E-06,-9.999995249643234E-07
6943,2223,1,12.585192447401,-1.0000002887977644E-06,-9.999995249643234E-07
7215,2631,1,10.139525401306,-1.0000002887977644E-06,-9.999995249643234E-07
27,41,1,4.966818986234,-1.0000002887977644E-06,-9.99999524076145E-07
227,341,1,-5.015491101992,-1.0000002887977644E-06,-9.99999524076145E-07
355,533,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
423,635,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
507,761,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
611,917,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
631,947,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
643,965,1,-5.342412778137,-1.0000002887977644E-06,-9.99999524076145E-07
647,971,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
663,995,1,-5.342412778137,-1.0000002887977644E-06,-9.99999524076145E-07
683,1025,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
687,1031,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
715,1073,1,-5.342412778137,-1.0000002887977644E-06,-9.99999524076145E-07
867,1301,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
875,1313,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
883,1325,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
951,1427,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
955,1433,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
1023,1535,1,5.617539576028,-1.0000002887977644E-06,-9.99999524076145E-07
1059,1589,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1099,1649,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1111,1667,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1143,1715,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1155,1733,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1167,1751,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1267,1901,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1271,1907,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
1443,2165,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
1495,2243,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
1499,2249,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
1507,2261,1,-6.565246301184,-1.0000002887977644E-06,-9.99999524076145E-07
1611,2417,1,-6.565246301184,-1.0000002887977644E-06,-9.99999524076145E-07
1619,2429,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
1743,2615,1,6.51345142293,-1.0000002887977644E-06,-9.99999524076145E-07
1783,2675,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
1787,2681,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
1791,2687,1,6.431721003894,-1.0000002887977644E-06,-9.99999524076145E-07
1823,2735,1,4.39470605298,-1.000000287909586E-06,-9.99999524076145E-07
1867,2801,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
1891,2837,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
1895,2843,1,7.89974578405,-1.0000002887977644E-06,-9.99999524076145E-07
1923,2885,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
1927,2891,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
